name;align;eye;hair;sex;appearances;first_appearance
Nameless One (Undying Ones Leader) (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;10;1970
William Carver (Earth-616);Добрый персонаж;Темно-карие глаза;Белые волосы;Мужской персонаж;10;1970
Borna (Earth-616);;;;Мужской персонаж;10;1971
Fafnir Hellhand (Earth-616);;Голубые глаза;;Мужской персонаж;10;1971
Bart Slade (Earth-616);;;Черные волосы;Мужской персонаж;10;1972
Clifton Graves (Earth-616);Злой персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;10;1972
Donald Sample (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;10;1972
Kid Cassidy (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;10;1972
Michael Kelly (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;10;1972
Roland Hamilton (Earth-616);;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;1972
Shades (Earth-616);Нейтральный персонаж;Темно-карие глаза;;Мужской персонаж;10;1972
Amon (Horse) (Earth-616);Добрый персонаж;;;;10;1973
Bertha (Earth-616);Добрый персонаж;;;Женский персонаж;10;1973
Hecate (Horse) (Earth-616);;;;;10;1973
Horatio Walters (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;1973
Joshua Kale (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;10;1973
Moondark (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;10;1973
Set (Horse) (Earth-616);;;;;10;1973
Grover Raymond (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1974
Melinda Morrison (Earth-616);;;;Женский персонаж;10;1974
Piranha (Earth-616);Злой персонаж;Желтые глаза;Без волос;Женский персонаж;10;1974
Slifer (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;10;1974
Tim Stuart (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1974
Zenobia (Earth-616);;;Каштановые волосы;Женский персонаж;10;1974
Ann Reynolds (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;10;1975
Isis (Deity) (Earth-616);Нейтральный персонаж;;;Женский персонаж;10;1975
Jeff Turner (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1975
Kierrok (Earth-616);Злой персонаж;Желтые глаза;;Мужской персонаж;10;1975
Raymond Corey (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;10;1975
Anton Lupeski (Earth-616);Злой персонаж;;;Мужской персонаж;10;1976
Barry Bauman (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1976
Harry Key (Earth-616);Злой персонаж;;;Мужской персонаж;10;1976
Rhomann Dey (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;10;1976
Yuri Petrovitch (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;10;1976
Gazelle (Scratch) (Earth-616);Добрый персонаж;;;Женский персонаж;10;1977
Harmony Whyte (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;10;1977
James Carter (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1977
Kerwin Korman (Earth-616);Злой персонаж;Желтые глаза;Черные волосы;Мужской персонаж;10;1977
Taurus (LMD) (Earth-616);Злой персонаж;;Русые волосы;Женский персонаж;10;1977
Nereel (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;10;1978
April Maye (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;10;1979
Charles Snow (Earth-616);;;;Мужской персонаж;10;1979
Chip Martin (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;10;1979
Maggie Jones (Earth-616);;;;Женский персонаж;10;1979
Phillip Barnett (Earth-616);;;;Мужской персонаж;10;1979
Walter Hardy (Earth-616);Нейтральный персонаж;;;Мужской персонаж;10;1979
Ralph Hutchins (Earth-616);;;Каштановые волосы;Мужской персонаж;10;1980
Yu-Huang (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1980
Ahpuch (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;10;1982
Indries Moomji (Earth-616);Злой персонаж;Черные глаза;Черные волосы;Женский персонаж;10;1982
Edward Cobert (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;10;1983
Ian McNee (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;1983
Ika (Earth-616);Добрый персонаж;;;Женский персонаж;10;1983
Kalibar (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1983
Lavour (Earth-616);Злой персонаж;;;Женский персонаж;10;1983
Michael Silk (Earth-616);Добрый персонаж;Розовые глаза;Белые волосы;Мужской персонаж;10;1983
Moltar (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1983
Ogeode (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1983
Vola (Earth-616);Добрый персонаж;;;Женский персонаж;10;1983
Warbow (Crystalium) (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;10;1983
Chief Examiner (Earth-616);;;;Мужской персонаж;10;1984
Frank Rambeau (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;10;1984
MX39147 (Earth-616);Злой персонаж;;;Женский персонаж;10;1984
Naze (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1984
Raunch (Earth-616);Злой персонаж;;;Женский персонаж;10;1984
Silverhoof (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1984
Slash (Earth-616);Злой персонаж;;;Женский персонаж;10;1984
Alice Nugent (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;1985
Annalee (Earth-616);;;Каштановые волосы;Женский персонаж;10;1985
Ethan Thurm (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1985
Flosi (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;10;1985
Hydra (Olympian Beast) (Earth-616);Злой персонаж;;;Женский персонаж;10;1985
Norman Webster (Earth-616);;;Русые волосы;Мужской персонаж;10;1985
Rolfe (Asgardian) (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;10;1985
Somon (Earth-616);;;;;10;1985
Armand Martel (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1986
Elizabeth Guthrie (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;1986
Kaleb (Earth-616);;;Русые волосы;Мужской персонаж;10;1986
Kendra Louise Price (Earth-616);Нейтральный персонаж;;;Женский персонаж;10;1986
Melanie Killgrave (Earth-616);;;;Женский персонаж;10;1986
Nicholas Grossman (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;1986
Benjamin Beckley (Earth-616);;Голубые глаза;Черные волосы;Мужской персонаж;10;1987
Brainstorm (Jimmy) (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1987
Darby Dean (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;10;1988
Grog (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1988
Michael Berengetti (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1988
Pamela Shaw (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;10;1988
Punchout (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;10;1988
Scab (Tim) (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;1988
Susan Dean (Earth-616);Нейтральный персонаж;;Черные волосы;Женский персонаж;10;1988
Toko (Earth-616);Злой персонаж;Серые глаза;Черные волосы;Женский персонаж;10;1988
Trista (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;1988
William Conover (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;10;1988
Wipeout (Earth-616);Злой персонаж;Голубые глаза;Белые волосы;Мужской персонаж;10;1988
Jacob Reisz (Earth-616);;;;Мужской персонаж;10;1989
Mako (Project Ultra-Tech) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;10;1989
Mitchell Godey (Earth-616);Злой персонаж;;;Мужской персонаж;10;1989
Muzzafar Lambert (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1989
Tai (Madripoor) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;10;1989
Illarion Pavlovich Ramskov (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1990
Juvan (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1990
Leeann Foreman (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;1990
Lynn Church (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;10;1990
Sean Watanabe (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1990
Zon (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;10;1990
Angela Golden (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;1991
Diego Casseas (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1991
Harry Lennox (Earth-616);;;;Мужской персонаж;10;1991
Joss Shappe (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;1991
Marco Delgado (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;1991
Su Yin (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Женский персонаж;10;1991
Agony (Hellbent) (Earth-616);Злой персонаж;;;Женский персонаж;10;1992
Artys-Gran (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;10;1992
Galen-Kor (Earth-616);;Голубые глаза;Каштановые волосы;Мужской персонаж;10;1992
Matthew Murdock (Hellspawn) (Earth-616);Злой персонаж;Черные глаза;;Мужской персонаж;10;1992
Mikal Drakonmegas (Earth-616);Добрый персонаж;Зеленые глаза;;Мужской персонаж;10;1992
Myla (Earth-616);Нейтральный персонаж;;;Женский персонаж;10;1992
Occulus (Earth-616);Злой персонаж;Черные глаза;Черные волосы;Мужской персонаж;10;1992
Perez (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1992
Diabolique (Earth-616);Злой персонаж;Темно-карие глаза;Русые волосы;Женский персонаж;10;1993
Gregory Terraerton (Earth-616);Злой персонаж;Желтые глаза;Без волос;Мужской персонаж;10;1993
Jacques Girard (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1993
Josef Huber (Earth-616);;Темно-карие глаза;;Мужской персонаж;10;1993
Maya Teraxtola (Earth-616);;;Русые волосы;Женский персонаж;10;1993
Rayna Piper (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;10;1993
Bellam (Earth-616);Добрый персонаж;Красные глаза;Черные волосы;Мужской персонаж;10;1994
Shigeru Ezaki (Clone) (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1994
Ann Herd (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Женский персонаж;10;1995
Lizard (Creature) (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;10;1995
Hybrid (Symbiote) (Earth-616);Нейтральный персонаж;Белые глаза;Без волос;Безполый персонаж;10;1996
Mroht (Earth-616);Добрый персонаж;;Без волос;Мужской персонаж;10;1996
Pyllar (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;10;1996
Roust (Earth-616);Нейтральный персонаж;Темно-карие глаза;Русые волосы;Мужской персонаж;10;1996
Tanya Trask (Earth-616);;Голубые глаза;;Женский персонаж;10;1996
Virginia Potts (Heroes Reborn) (Earth-616);Добрый персонаж;;;Женский персонаж;10;1996
Bux (Earth-616);Добрый персонаж;;;Женский персонаж;10;1997
Francisco Fuentes (Earth-616);;;;Мужской персонаж;10;1997
Galactus (Heroes Reborn) (Earth-616);Злой персонаж;;;Мужской персонаж;10;1997
Jam (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;10;1997
Madam Qwa (Earth-616);Злой персонаж;;;Женский персонаж;10;1997
Marita (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;10;1997
Megan McLaren (Earth-616);;;Русые волосы;Женский персонаж;10;1997
Overboss Dixon (Earth-616);;;;Мужской персонаж;10;1997
Ajax (Francis) (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;1998
Hescamar (Earth-616);Добрый персонаж;;;Мужской персонаж;10;1998
Lavinia LeBlanc (Earth-616);Нейтральный персонаж;Серые глаза;;Женский персонаж;10;1998
Majeston Zelia (Earth-616);Злой персонаж;Желтые глаза;;Женский персонаж;10;1998
Astra (Mutant) (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Женский персонаж;10;1999
Donna Bliss (Earth-616);;Голубые глаза;Русые волосы;Женский персонаж;10;1999
Esperanza Ling (Earth-616);Добрый персонаж;;Светло-розовые волосы;Женский персонаж;10;1999
Joan the Mouse (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;10;2000
Samantha Dunbar (Heroes Reborn) (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;10;2000
Darian Elliott (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;10;2001
Fiona Knoblach (Earth-616);Злой персонаж;Зеленые глаза;;Женский персонаж;10;2001
Paul Hark (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;10;2001
Wayne Markley (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;2001
Agent Pratt (Earth-616);Злой персонаж;Красные глаза;;Мужской персонаж;10;2002
Black Swan (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;2002
Elizabeth Bondi (Earth-616);Добрый персонаж;Темно-карие глаза;;Женский персонаж;10;2002
Garrison Klum (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;10;2002
Maureen Lyszinski (Earth-616);Нейтральный персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;10;2002
Sandra Verdugo (Earth-616);Нейтральный персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;10;2002
Shathra (Earth-616);Злой персонаж;Белые глаза;Черные волосы;Женский персонаж;10;2002
Destiny Gonzales (Earth-616);Нейтральный персонаж;;;Женский персонаж;10;2003
Host (Pathogen) (Earth-616);;Голубые глаза;Черные волосы;Женский персонаж;10;2003
Chamayra Ortega (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;10;2004
Fallen One (Herald) (Earth-616);Злой персонаж;Белые глаза;;Мужской персонаж;10;2004
John Zander (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;2004
Augustus (Earth-616);Нейтральный персонаж;;Русые волосы;Мужской персонаж;10;2005
Ayna Sareva (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;10;2005
Charles Weiderman (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;2005
Eurystheus (Earth-616);Злой персонаж;;;Мужской персонаж;10;2005
Rebbecca Kaplan (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;10;2005
Sarah Kinney (Earth-616);Нейтральный персонаж;Зеленые глаза;Черные волосы;Женский персонаж;10;2005
Vincent (Sisterhood of the Wasp) (Earth-616);Злой персонаж;;;Мужской персонаж;10;2005
Curtis Doyle (Earth-616);Добрый персонаж;Черные глаза;Русые волосы;Мужской персонаж;10;2006
Lucas Cross (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;10;2006
Rajani Dhama (Earth-616);Добрый персонаж;;;Женский персонаж;10;2006
Elizabeth Sooner (Earth-616);Добрый персонаж;;;Женский персонаж;10;2007
John Maddox (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;2007
Mulholland Black (Earth-616);;Темно-карие глаза;Черные волосы;Женский персонаж;10;2007
Artume (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Женский персонаж;10;2008
Fraktur (Earth-616);Добрый персонаж;Желтые глаза;Без волос;Женский персонаж;10;2008
Legba (Eternal) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;10;2008
Madeleine Michaels (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;10;2008
Marina Zane (Earth-616);Добрый персонаж;;;Женский персонаж;10;2008
Bentley Newton (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;10;2009
Bill (A.I.M. Agent) (Earth-616);Нейтральный персонаж;Белые глаза;;Мужской персонаж;10;2010
Hl\u00f6kk (Earth-616);Злой персонаж;;;Женский персонаж;10;2010
Isaac Newton (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;10;2010
Jacob Feinman (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;10;2010
Leonid (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;10;2010
Brad Dodge (Earth-616);Добрый персонаж;;;Мужской персонаж;10;2011
Donna Kiel (Earth-616);Нейтральный персонаж;Зеленые глаза;Русые волосы;Женский персонаж;10;2011
Harper Simmons (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;10;2011
Hydra Queen (Grace) (Earth-616);Злой персонаж;Зеленые глаза;Каштановые волосы;Женский персонаж;10;2011
Inka (Earth-616);Добрый персонаж;Красные глаза;Черные волосы;Женский персонаж;10;2011
Sanjay (Earth-616);Добрый персонаж;Красные глаза;Русые волосы;Мужской персонаж;10;2011
Splitlip (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;10;2011
Wade Wilson (Evil Deadpool) (Earth-616);Злой персонаж;Белые глаза;;Мужской персонаж;10;2011
Leonid Novokov (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;10;2012
Caroline le Fay (Earth-616);Злой персонаж;Черные глаза;;Женский персонаж;10;2013
Eimin Worthington (Earth-616);Злой персонаж;Нет глаз;;Женский персонаж;10;2013
Recording Observation Bot (Earth-616);Добрый персонаж;;;Безполый персонаж;10;2013
Uriel Worthington (Earth-616);Злой персонаж;Красные глаза;;Мужской персонаж;10;2013
Kevin Trublood (Earth-616);;;;Мужской персонаж;10;
Dimitrios (Earth-616);Злой персонаж;;;Безполый персонаж;10;
Shiklah (Earth-616);Злой персонаж;Желтые глаза;Черные волосы;Женский персонаж;10;
Leonard Gade (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;9;1940
Merzah (Earth-616);Добрый персонаж;Зеленые глаза;;Мужской персонаж;9;1940
William Carmody (Earth-616);;Голубые глаза;Черные волосы;Мужской персонаж;9;1940
Dan Kane (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;9;1941
George Washington (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1947
Matthew Grayson (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;9;1950
Arrow (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1951
Cliff Macklin (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1951
David Laramee (Earth-616);;;Русые волосы;Мужской персонаж;9;1951
Gitche Manitou (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1951
Captain Stone (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1953
Harry Sikes (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1953
Grottu (Earth-616);Злой персонаж;Черные глаза;;Мужской персонаж;9;1960
Taboo (Extraterrestrial) (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;9;1960
Zzutak (Earth-616);Злой персонаж;;;Мужской персонаж;9;1961
Charles Stanton (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1962
Buri (Asgardian) (Earth-616);Добрый персонаж;Голубые глаза;Разноцветные волосы;Мужской персонаж;9;1963
Jason Cragg (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1963
Wilhelm van Vile (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1963
Jinku (Earth-616);Злой персонаж;;;Мужской персонаж;9;1964
Red Hargrove (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1964
Slade (Earth-616);;;Русые волосы;Мужской персонаж;9;1964
Vuk (Earth-616);Нейтральный персонаж;Белые глаза;Зеленые волосы;Мужской персонаж;9;1964
Hans Rooten (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1965
Lucky Lobo (Earth-616);Злой персонаж;;;Мужской персонаж;9;1965
Sharon Xavier (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;9;1965
Siegfried Farber (Earth-616);Злой персонаж;;;Мужской персонаж;9;1965
Dominus (Earth-616);Злой персонаж;;;;9;1966
Lyan (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Мужской персонаж;9;1966
Seeker (Inhuman) (Earth-616);Злой персонаж;Белые глаза;Черные волосы;Мужской персонаж;9;1966
Johnny Carson (Earth-616);Нейтральный персонаж;;Белые волосы;Мужской персонаж;9;1967
Tom Regal (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1967
Trung Tuan (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1967
General Bridges (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1968
Tomazooma (Robot) (Earth-616);Злой персонаж;Белые глаза;Без волос;;9;1968
Robert Chalmers (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1969
Slave Master (Earth-616);Злой персонаж;Зеленые глаза;Без волос;Мужской персонаж;9;1969
Brett Sabre (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;9;1970
Faceless One (Earth-616);Злой персонаж;;Без волос;Мужской персонаж;9;1970
Golem (Statue) (Earth-616);;;Без волос;Мужской персонаж;9;1970
Grand Vizier (Polemachus) (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;9;1970
Melvin Scarbo (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;9;1970
Ka-Nu (Earth-616);Нейтральный персонаж;;Белые волосы;Мужской персонаж;9;1971
Kaanuub (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;9;1971
Doc Watson (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1972
Howard Shigeta (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;9;1972
Laurie Livingston (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;9;1972
Linda Donaldson (Earth-616);;;;Женский персонаж;9;1972
Reva Connors (Earth-616);Нейтральный персонаж;;Черные волосы;Женский персонаж;9;1972
Rex Carpenter (Earth-616);;;Черные волосы;Мужской персонаж;9;1972
Alexi Skarab (Earth-616);;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1973
Derek McDowell (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;9;1973
Franklin Armstrong Schist (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;9;1973
Hathor-Sekhmet (Earth-616);;Белые глаза;Оранжевые волосы;Женский персонаж;9;1973
Maria Dracula (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;9;1973
Sui-San (Earth-616);Нейтральный персонаж;Зеленые глаза;Черные волосы;Женский персонаж;9;1973
Turac (Earth-616);Злой персонаж;Красные глаза;;Мужской персонаж;9;1973
Daemond (Earth-616);;;;Мужской персонаж;9;1974
Gregori Kronski (Earth-616);Нейтральный персонаж;;;Мужской персонаж;9;1974
Grigar (Earth-616);;;Каштановые волосы;Мужской персонаж;9;1974
Richard Harper (Earth-616);;;;Мужской персонаж;9;1974
Roscoe Simons (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;9;1974
William Turner (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1974
Gerald Ford (Earth-616);;;;Мужской персонаж;9;1975
Iridia (Earth-616);;;Русые волосы;Женский персонаж;9;1975
Julian Phyffe (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;9;1975
Melf (Earth-616);Злой персонаж;;;Мужской персонаж;9;1975
Ramon de Rico (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;9;1975
Arides (Earth-616);Злой персонаж;Янтарные глаза;Черные волосы;Мужской персонаж;9;1976
Erik Gelden (Earth-616);Злой персонаж;;;Мужской персонаж;9;1976
Floyd Mangles (Earth-616);Злой персонаж;;;Мужской персонаж;9;1976
Gorr (New Men) (Earth-616);Злой персонаж;;;Мужской персонаж;9;1976
Achmed Korba (Earth-616);Злой персонаж;;;Мужской персонаж;9;1977
Esteban Carracus (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1977
Hecate (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;9;1977
Leo (LMD) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;9;1977
Libra (LMD) (Earth-616);Злой персонаж;;;Женский персонаж;9;1977
Belathauzer (Earth-616);;Красные глаза;Без волос;Мужской персонаж;9;1978
Priscilla Dolly (Earth-616);;;;Женский персонаж;9;1978
Utgard-Loki (Earth-616);Злой персонаж;Голубые глаза;Белые волосы;Мужской персонаж;9;1978
Virako (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;9;1978
Thoran Rul (Earth-616);;Серые глаза;Черные волосы;Мужской персонаж;9;1979
Clifford Michaels (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;9;1980
Fafnir (Frost Giant) (Earth-616);Злой персонаж;;;Мужской персонаж;9;1980
Hodiak (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1980
John Daltry (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;9;1980
Lou Monkton (Earth-616);;;Черные волосы;Мужской персонаж;9;1980
August Masters (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;9;1981
Beverly Cross (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;9;1981
Biff Rifkin (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;9;1981
Dherk (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1981
Kirigi (Earth-616);Злой персонаж;;;Мужской персонаж;9;1981
Nanna (Asgardian) (Earth-616);;Голубые глаза;Русые волосы;Женский персонаж;9;1981
Nell Jones (Earth-616);;;;Женский персонаж;9;1981
Paul Jansen (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1981
Hyper-Ultronic Brain Employing Randomized Tracings (Earth-616);Добрый персонаж;;Без волос;;9;1982
Myron Wilburn (Earth-616);Нейтральный персонаж;;;Мужской персонаж;9;1982
Null the Living Darkness (Earth-616);Злой персонаж;Черные глаза;Без волос;;9;1982
Nurse Stevens (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;9;1982
Tom\u00e1s Ram\u00edrez (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;9;1982
Feldspar (Earth-616);Нейтральный персонаж;;;Мужской персонаж;9;1983
Nina da Costa (Earth-616);Добрый персонаж;;;Женский персонаж;9;1983
Volx (Earth-616);Злой персонаж;;Без волос;Женский персонаж;9;1983
Friedrich von Roehm (Earth-616);;;Каштановые волосы;Мужской персонаж;9;1984
Healer (Earth-616);Добрый персонаж;;;Мужской персонаж;9;1984
Maraud (Earth-616);Злой персонаж;Желтые глаза;Без волос;Женский персонаж;9;1984
